! Planar; Obzor-804;22140011; 22.4.2/3
! Date: 13.10.2023 11:17:40;;;
! Stimulus(Ãö);    S21(°);;
3.00000000000E+05;-2.88218616513E-01;;
4.02985000000E+07;-3.78335092746E+01;;
8.02970000000E+07;-7.52837188685E+01;;
1.20295500000E+08;-1.12761863211E+02;;
1.60294000000E+08;-1.50347513432E+02;;
2.00292500000E+08;-1.87783130955E+02;;
2.40291000000E+08;-2.25196423904E+02;;
2.80289500000E+08;-2.62670502936E+02;;
3.20288000000E+08;-2.99980484712E+02;;
3.60286500000E+08;-3.37567301434E+02;;
4.00285000000E+08;-3.75001731943E+02;;
4.40283500000E+08;-4.12538505877E+02;;
4.80282000000E+08;-4.49547370203E+02;;
5.20280500000E+08;-4.87478090259E+02;;
5.60279000000E+08;-5.24505889463E+02;;
6.00277500000E+08;-5.62407499456E+02;;
6.40276000000E+08;-5.99520082271E+02;;
6.80274500000E+08;-6.37219014419E+02;;
7.20273000000E+08;-6.74334787443E+02;;
7.60271500000E+08;-7.12390974762E+02;;
8.00270000000E+08;-7.49324161812E+02;;
8.40268500000E+08;-7.86899467682E+02;;
8.80267000000E+08;-8.24605537111E+02;;
9.20265500000E+08;-8.61601099174E+02;;
9.60264000000E+08;-8.99419433590E+02;;
1.00026250000E+09;-9.36598994296E+02;;
1.04026100000E+09;-9.73734916220E+02;;
1.08025950000E+09;-1.01101059108E+03;;
1.12025800000E+09;-1.04867187339E+03;;
1.16025650000E+09;-1.08561596786E+03;;
1.20025500000E+09;-1.12376428625E+03;;
1.24025350000E+09;-1.16077414213E+03;;
1.28025200000E+09;-1.19835883869E+03;;
1.32025050000E+09;-1.23534717085E+03;;
1.36024900000E+09;-1.27356326272E+03;;
1.40024750000E+09;-1.31068970789E+03;;
1.44024600000E+09;-1.34784118777E+03;;
1.48024450000E+09;-1.38529307809E+03;;
1.52024300000E+09;-1.42249157777E+03;;
1.56024150000E+09;-1.46069462183E+03;;
1.60024000000E+09;-1.49773549585E+03;;
1.64023850000E+09;-1.53550899562E+03;;
1.68023700000E+09;-1.57185553414E+03;;
1.72023550000E+09;-1.61083512044E+03;;
1.76023400000E+09;-1.64754539795E+03;;
1.80023250000E+09;-1.68511343401E+03;;
1.84023100000E+09;-1.72222621198E+03;;
1.88022950000E+09;-1.75986076223E+03;;
1.92022800000E+09;-1.79752588538E+03;;
1.96022650000E+09;-1.83487934349E+03;;
2.00022500000E+09;-1.87218957104E+03;;
2.04022350000E+09;-1.90897974166E+03;;
2.08022200000E+09;-1.94764587956E+03;;
2.12022050000E+09;-1.98437816266E+03;;
2.16021900000E+09;-2.02253328326E+03;;
2.20021750000E+09;-2.05872396861E+03;;
2.24021600000E+09;-2.09739666354E+03;;
2.28021450000E+09;-2.13433883697E+03;;
2.32021300000E+09;-2.17231594526E+03;;
2.36021150000E+09;-2.20970171201E+03;;
2.40021000000E+09;-2.24592516120E+03;;
2.44020850000E+09;-2.28464892058E+03;;
2.48020700000E+09;-2.32186527696E+03;;
2.52020550000E+09;-2.35972811895E+03;;
2.56020400000E+09;-2.39672512019E+03;;
2.60020250000E+09;-2.43479416022E+03;;
2.64020100000E+09;-2.47035317936E+03;;
2.68019950000E+09;-2.51007189477E+03;;
2.72019800000E+09;-2.54665416776E+03;;
2.76019650000E+09;-2.58395221314E+03;;
2.80019500000E+09;-2.62181299937E+03;;
2.84019350000E+09;-2.65921657070E+03;;
2.88019200000E+09;-2.69660153218E+03;;
2.92019050000E+09;-2.73524350238E+03;;
2.96018900000E+09;-2.77116713148E+03;;
3.00018750000E+09;-2.80855392754E+03;;
3.04018600000E+09;-2.84695763511E+03;;
3.08018450000E+09;-2.88509050152E+03;;
3.12018300000E+09;-2.92111329295E+03;;
3.16018150000E+09;-2.95846187898E+03;;
3.20018000000E+09;-2.99518227191E+03;;
3.24017850000E+09;-3.03369366069E+03;;
3.28017700000E+09;-3.07154407878E+03;;
3.32017550000E+09;-3.10855069458E+03;;
3.36017400000E+09;-3.14429269764E+03;;
3.40017250000E+09;-3.18173508934E+03;;
3.44017100000E+09;-3.22046989020E+03;;
3.48016950000E+09;-3.25636468712E+03;;
3.52016800000E+09;-3.29225933227E+03;;
3.56016650000E+09;-3.32952439655E+03;;
3.60016500000E+09;-3.36809607796E+03;;
3.64016350000E+09;-3.40353642138E+03;;
3.68016200000E+09;-3.44183553198E+03;;
3.72016050000E+09;-3.47980401332E+03;;
3.76015900000E+09;-3.52261579838E+03;;
3.80015750000E+09;-3.56434810902E+03;;
3.84015600000E+09;-3.60053123172E+03;;
3.88015450000E+09;-3.63543502051E+03;;
3.92015300000E+09;-3.67405079836E+03;;
3.96015150000E+09;-3.71168538651E+03;;
4.00015000000E+09;-3.74829146813E+03;;
4.04014850000E+09;-3.78444279685E+03;;
4.08014700000E+09;-3.82233071128E+03;;
4.12014550000E+09;-3.86121520887E+03;;
4.16014400000E+09;-3.89760549117E+03;;
4.20014250000E+09;-3.93509355691E+03;;
4.24014100000E+09;-3.97068924610E+03;;
4.28013950000E+09;-4.00878717022E+03;;
4.32013800000E+09;-4.04939869186E+03;;
4.36013650000E+09;-4.08542051123E+03;;
4.40013500000E+09;-4.12046862657E+03;;
4.44013350000E+09;-4.15958824512E+03;;
4.48013200000E+09;-4.20067712232E+03;;
4.52013050000E+09;-4.23944820603E+03;;
4.56012900000E+09;-4.29505874234E+03;;
4.60012750000E+09;-4.29563821976E+03;;
4.64012600000E+09;-4.33574529541E+03;;
4.68012450000E+09;-4.38019113268E+03;;
4.72012300000E+09;-4.40804068859E+03;;
4.76012150000E+09;-4.45128698286E+03;;
4.80012000000E+09;-4.49001410444E+03;;
4.84011850000E+09;-4.53266762687E+03;;
4.88011700000E+09;-4.56600032888E+03;;
4.92011550000E+09;-4.60809550078E+03;;
4.96011400000E+09;-4.64217957489E+03;;
5.00011250000E+09;-4.67861549821E+03;;
5.04011100000E+09;-4.71777600560E+03;;
5.08010950000E+09;-4.75935009914E+03;;
5.12010800000E+09;-4.79272304458E+03;;
5.16010650000E+09;-4.83167387525E+03;;
5.20010500000E+09;-4.86785111388E+03;;
5.24010350000E+09;-4.90728160584E+03;;
