! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:17:53
! Stimulus(Гц),    S21(с)
3.00000000000E+05,+2.60740501946E-09
4.02985000000E+07,+2.60740501946E-09
8.02970000000E+07,+2.60103202110E-09
1.20295500000E+08,+2.60288489681E-09
1.60294000000E+08,+2.61039744240E-09
2.00292500000E+08,+2.59997709784E-09
2.40291000000E+08,+2.59755291101E-09
2.80289500000E+08,+2.60255730595E-09
3.20288000000E+08,+2.59079209994E-09
3.60286500000E+08,+2.61110273601E-09
4.00285000000E+08,+2.59960036253E-09
4.40283500000E+08,+2.60658911787E-09
4.80282000000E+08,+2.57005828810E-09
5.20280500000E+08,+2.63437169760E-09
5.60279000000E+08,+2.57180701734E-09
6.00277500000E+08,+2.63180539272E-09
6.40276000000E+08,+2.57709247163E-09
6.80274500000E+08,+2.61828152625E-09
7.20273000000E+08,+2.57732528693E-09
7.60271500000E+08,+2.64254362387E-09
8.00270000000E+08,+2.56541594223E-09
8.40268500000E+08,+2.60955893405E-09
8.80267000000E+08,+2.61851035995E-09
9.20265500000E+08,+2.56913625751E-09
9.60264000000E+08,+2.62645985341E-09
1.00026250000E+09,+2.58204363502E-09
1.04026100000E+09,+2.57899910037E-09
1.08025950000E+09,+2.58813380038E-09
1.12025800000E+09,+2.61556683117E-09
1.16025650000E+09,+2.56555740229E-09
1.20025500000E+09,+2.64944742575E-09
1.24025350000E+09,+2.57007923616E-09
1.28025200000E+09,+2.61048435158E-09
1.32025050000E+09,+2.56847107960E-09
1.36024900000E+09,+2.65346144520E-09
1.40024750000E+09,+2.57877041460E-09
1.44024600000E+09,+2.57959230867E-09
1.48024450000E+09,+2.60128262321E-09
1.52024300000E+09,+2.58295648394E-09
1.56024150000E+09,+2.65315514549E-09
1.60024000000E+09,+2.57211592333E-09
1.64023850000E+09,+2.62383430502E-09
1.68023700000E+09,+2.52424375242E-09
1.72023550000E+09,+2.70652256073E-09
1.76023400000E+09,+2.54931110485E-09
1.80023250000E+09,+2.60921029807E-09
1.84023100000E+09,+2.57737275915E-09
1.88022950000E+09,+2.61361968074E-09
1.92022800000E+09,+2.61574978083E-09
1.96022650000E+09,+2.59421491541E-09
2.00022500000E+09,+2.59060955255E-09
2.04022350000E+09,+2.55506072131E-09
2.08022200000E+09,+2.68534922434E-09
2.12022050000E+09,+2.55059663497E-09
2.16021900000E+09,+2.64993326036E-09
2.20021750000E+09,+2.51317267346E-09
2.24021600000E+09,+2.68564658121E-09
2.28021450000E+09,+2.56573180071E-09
2.32021300000E+09,+2.63739069764E-09
2.36021150000E+09,+2.59637014956E-09
2.40021000000E+09,+2.51562116785E-09
2.44020850000E+09,+2.68930045068E-09
2.48020700000E+09,+2.58456118034E-09
2.52020550000E+09,+2.62968107895E-09
2.56020400000E+09,+2.56872406592E-09
2.60020250000E+09,+2.64408344844E-09
2.64020100000E+09,+2.46937618077E-09
2.68019950000E+09,+2.75820968697E-09
2.72019800000E+09,+2.54072855970E-09
2.76019650000E+09,+2.59044816005E-09
2.80019500000E+09,+2.62898752304E-09
2.84019350000E+09,+2.59747932030E-09
2.88019200000E+09,+2.59659182057E-09
2.92019050000E+09,+2.68354104811E-09
2.96018900000E+09,+2.49456880216E-09
3.00018750000E+09,+2.59705137509E-09
3.04018600000E+09,+2.66638135932E-09
