! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:21:34
! Stimulus(Гц),    S21(дБ)
4.30200000000E+09,-2.04371334784E+01
4.30384992496E+09,-1.92357150510E+01
4.30569984992E+09,-1.77289359191E+01
4.30754977489E+09,-1.58201456177E+01
4.30939969985E+09,-1.33494631236E+01
4.31124962481E+09,-9.98150929804E+00
4.31309954977E+09,-5.26195077500E+00
4.31494947474E+09,-1.86710549714E+00
4.31679939970E+09,-5.98229841690E+00
4.31864932466E+09,-9.95279115724E+00
4.32049924962E+09,-1.26610299965E+01
4.32234917459E+09,-1.45873806929E+01
4.32419909955E+09,-1.60052330181E+01
4.32604902451E+09,-1.70601440953E+01
4.32789894947E+09,-1.78402307164E+01
4.32974887444E+09,-1.84000437232E+01
4.33159879940E+09,-1.87803136810E+01
4.33344872436E+09,-1.89993761529E+01
4.33529864932E+09,-1.90718101175E+01
4.33714857429E+09,-1.90165296458E+01
4.33899849925E+09,-1.88330667567E+01
4.34084842421E+09,-1.85247409579E+01
4.34269834917E+09,-1.80977077229E+01
4.34454827414E+09,-1.75408468156E+01
4.34639819910E+09,-1.68564954019E+01
4.34824812406E+09,-1.60244947101E+01
4.35009804902E+09,-1.50434568826E+01
4.35194797399E+09,-1.38875351062E+01
4.35379789895E+09,-1.25187588097E+01
4.35564782391E+09,-1.09052346479E+01
4.35749774887E+09,-8.99136458533E+00
4.35934767384E+09,-6.70772955900E+00
4.36119759880E+09,-4.08032770444E+00
4.36304752376E+09,-1.63448729390E+00
4.36489744872E+09,-9.59855980798E-01
4.36674737369E+09,-2.48719515227E+00
4.36859729865E+09,-4.58062629067E+00
4.37044722361E+09,-6.41896638878E+00
4.37229714857E+09,-7.89139265984E+00
4.37414707354E+09,-9.05957533297E+00
4.37599699850E+09,-9.98629886911E+00
4.37784692346E+09,-1.07215209863E+01
4.37969684842E+09,-1.13057340125E+01
4.38154677339E+09,-1.17658073379E+01
4.38339669835E+09,-1.21195204247E+01
4.38524662331E+09,-1.23850550612E+01
4.38709654827E+09,-1.25724957619E+01
4.38894647324E+09,-1.26953795820E+01
4.39079639820E+09,-1.27549542342E+01
4.39264632316E+09,-1.27595750566E+01
4.39449624812E+09,-1.27131711939E+01
4.39634617309E+09,-1.26168824415E+01
4.39819609805E+09,-1.24701264323E+01
4.40004602301E+09,-1.22740634369E+01
4.40189594797E+09,-1.20361522896E+01
4.40374587294E+09,-1.17415508809E+01
4.40559579790E+09,-1.14033136681E+01
4.40744572286E+09,-1.10049142965E+01
4.40929564782E+09,-1.05453498238E+01
4.41114557279E+09,-1.00314321273E+01
4.41299549775E+09,-9.44136194860E+00
4.41484542271E+09,-8.79396656822E+00
4.41669534767E+09,-8.06461552654E+00
4.41854527264E+09,-7.25109711848E+00
4.42039519760E+09,-6.36638201374E+00
4.42224512256E+09,-5.38893621347E+00
4.42409504752E+09,-4.34578812888E+00
4.42594497249E+09,-3.25827490306E+00
4.42779489745E+09,-2.17316980230E+00
4.42964482241E+09,-1.22280164555E+00
4.43149474737E+09,-5.49486761503E-01
4.43334467234E+09,-3.04822903153E-01
4.43519459730E+09,-5.29287031902E-01
4.43704452226E+09,-1.11308536469E+00
4.43889444722E+09,-1.89620511051E+00
4.44074437219E+09,-2.73502947102E+00
4.44259429715E+09,-3.57203284944E+00
4.44444422211E+09,-4.34104475943E+00
4.44629414707E+09,-5.05061625026E+00
4.44814407204E+09,-5.68650579846E+00
4.44999399700E+09,-6.25104066574E+00
4.45184392196E+09,-6.75487848206E+00
4.45369384692E+09,-7.19620963291E+00
4.45554377189E+09,-7.58420345719E+00
4.45739369685E+09,-7.92216994000E+00
4.45924362181E+09,-8.21128710736E+00
4.46109354677E+09,-8.45870017618E+00
4.46294347174E+09,-8.66529097696E+00
4.46479339670E+09,-8.83613888433E+00
4.46664332166E+09,-8.97128984341E+00
4.46849324662E+09,-9.07079004035E+00
4.47034317159E+09,-9.13458196707E+00
4.47219309655E+09,-9.15828222146E+00
4.47404302151E+09,-9.14830923379E+00
4.47589294647E+09,-9.10092790956E+00
4.47774287144E+09,-9.01862998768E+00
4.47959279640E+09,-8.89869907995E+00
4.48144272136E+09,-8.73608423274E+00
4.48329264632E+09,-8.54261495069E+00
4.48514257129E+09,-8.30108335931E+00
4.48699249625E+09,-8.01714056738E+00
4.48884242121E+09,-7.68907445118E+00
4.49069234617E+09,-7.31439930153E+00
4.49254227114E+09,-6.89588010711E+00
4.49439219610E+09,-6.42967266617E+00
4.49624212106E+09,-5.92302029612E+00
4.49809204602E+09,-5.37133999283E+00
4.49994197099E+09,-4.77890162797E+00
4.50179189595E+09,-4.15787074613E+00
4.50364182091E+09,-3.51053847535E+00
4.50549174587E+09,-2.85545656747E+00
4.50734167084E+09,-2.21585731696E+00
4.50919159580E+09,-1.61199231891E+00
4.51104152076E+09,-1.08934682728E+00
4.51289144572E+09,-6.65990186088E-01
4.51474137069E+09,-3.65955481870E-01
4.51659129565E+09,-2.18908394923E-01
4.51844122061E+09,-1.86588485852E-01
4.52029114557E+09,-2.74144953024E-01
4.52214107054E+09,-4.31260880100E-01
4.52399099550E+09,-6.37560816237E-01
4.52584092046E+09,-8.82296761808E-01
4.52769084542E+09,-1.13138836793E+00
4.52954077039E+09,-1.38075992627E+00
4.53139069535E+09,-1.61872436988E+00
4.53324062031E+09,-1.84464564947E+00
4.53509054527E+09,-2.06070858923E+00
4.53694047024E+09,-2.26390038257E+00
4.53879039520E+09,-2.45438182113E+00
4.54064032016E+09,-2.64744932615E+00
4.54249024512E+09,-2.82414634681E+00
4.54434017009E+09,-3.00573436562E+00
4.54619009505E+09,-3.18456974745E+00
4.54804002001E+09,-3.36501101511E+00
4.54988994497E+09,-3.54774334077E+00
4.55173986993E+09,-3.72510030999E+00
4.55358979490E+09,-3.90350452480E+00
4.55543971986E+09,-4.08021885704E+00
4.55728964482E+09,-4.24227782911E+00
4.55913956978E+09,-4.40779848830E+00
4.56098949475E+09,-4.57183328693E+00
4.56283941971E+09,-4.74064285821E+00
4.56468934467E+09,-4.89346757370E+00
4.56653926963E+09,-5.02405927635E+00
4.56838919460E+09,-5.13665011214E+00
4.57023911956E+09,-5.22518492368E+00
4.57208904452E+09,-5.28926227616E+00
4.57393896948E+09,-5.32762159466E+00
4.57578889445E+09,-5.33443935947E+00
4.57763881941E+09,-5.31139864854E+00
4.57948874437E+09,-5.25868119473E+00
4.58133866933E+09,-5.16590878785E+00
4.58318859430E+09,-5.04779771861E+00
4.58503851926E+09,-4.89171736410E+00
4.58688844422E+09,-4.70217887922E+00
4.58873836918E+09,-4.47939267332E+00
4.59058829415E+09,-4.21932892180E+00
4.59243821911E+09,-3.93433205678E+00
4.59428814407E+09,-3.61878481580E+00
4.59613806903E+09,-3.27780050150E+00
4.59798799400E+09,-2.92590176380E+00
4.59983791896E+09,-2.54983693991E+00
4.60168784392E+09,-2.16032558171E+00
4.60353776888E+09,-1.77340656126E+00
4.60538769385E+09,-1.40248119576E+00
4.60723761881E+09,-1.06741600214E+00
4.60908754377E+09,-7.67378321056E-01
4.61093746873E+09,-5.19232711266E-01
4.61278739370E+09,-3.23438459439E-01
4.61463731866E+09,-1.84137537808E-01
4.61648724362E+09,-9.95058063749E-02
4.61833716858E+09,-6.10224670176E-02
4.62018709355E+09,-6.02672525368E-02
4.62203701851E+09,-9.62301136283E-02
4.62388694347E+09,-1.42290251370E-01
4.62573686843E+09,-2.06838556721E-01
4.62758679340E+09,-2.74969212159E-01
4.62943671836E+09,-3.47832855030E-01
4.63128664332E+09,-4.20919490807E-01
4.63313656828E+09,-4.88463089522E-01
4.63498649325E+09,-5.55651841838E-01
4.63683641821E+09,-6.21571074357E-01
4.63868634317E+09,-6.80487696386E-01
4.64053626813E+09,-7.47076298868E-01
4.64238619310E+09,-8.06421057968E-01
4.64423611806E+09,-8.69842408909E-01
4.64608604302E+09,-9.34559726503E-01
4.64793596798E+09,-1.00089057575E+00
4.64978589295E+09,-1.07130448966E+00
4.65163581791E+09,-1.14271732327E+00
4.65348574287E+09,-1.21859033946E+00
4.65533566783E+09,-1.29241685227E+00
4.65718559280E+09,-1.36865984419E+00
4.65903551776E+09,-1.44224273450E+00
4.66088544272E+09,-1.51423187177E+00
4.66273536768E+09,-1.58042668059E+00
4.66458529265E+09,-1.64912694497E+00
4.66643521761E+09,-1.71034634128E+00
4.66828514257E+09,-1.77109756569E+00
4.67013506753E+09,-1.82327902152E+00
4.67198499250E+09,-1.87269566556E+00
4.67383491746E+09,-1.91668150555E+00
4.67568484242E+09,-1.95437644115E+00
4.67753476738E+09,-1.98411357322E+00
4.67938469235E+09,-2.01408128491E+00
4.68123461731E+09,-2.04086922354E+00
4.68308454227E+09,-2.07307683819E+00
4.68493446723E+09,-2.09532650810E+00
4.68678439220E+09,-2.10945375526E+00
4.68863431716E+09,-2.11101343008E+00
4.69048424212E+09,-2.10294635703E+00
4.69233416708E+09,-2.08535752487E+00
4.69418409205E+09,-2.05270039746E+00
4.69603401701E+09,-2.01142419607E+00
4.69788394197E+09,-1.95892372385E+00
4.69973386693E+09,-1.89676609144E+00
4.70158379190E+09,-1.82613013120E+00
4.70343371686E+09,-1.74520437049E+00
4.70528364182E+09,-1.65597165477E+00
4.70713356678E+09,-1.56169976173E+00
4.70898349175E+09,-1.45703755210E+00
