! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:22:08
! Stimulus(Гц),    S21(°)
4.30200000000E+09,+1.74144797061E+02
4.30384992496E+09,+1.71519260924E+02
4.30569984992E+09,+1.68533677318E+02
4.30754977489E+09,+1.64885356018E+02
4.30939969985E+09,+1.59781548835E+02
4.31124962481E+09,+1.51085151246E+02
4.31309954977E+09,+1.30747113274E+02
4.31494947474E+09,+7.53372957073E+01
4.31679939970E+09,+2.95278882683E+01
4.31864932466E+09,+1.38082640602E+01
4.32049924962E+09,+6.89917398773E+00
4.32234917459E+09,+3.09527307915E+00
4.32419909955E+09,+6.99413012817E-01
4.32604902451E+09,-9.50340674923E-01
4.32789894947E+09,-2.12609973634E+00
4.32974887444E+09,-2.98006911118E+00
4.33159879940E+09,-3.64270606831E+00
4.33344872436E+09,-4.17451443807E+00
4.33529864932E+09,-4.60492271948E+00
4.33714857429E+09,-5.01514328463E+00
4.33899849925E+09,-5.38648243173E+00
4.34084842421E+09,-5.78207150466E+00
4.34269834917E+09,-6.23621687056E+00
4.34454827414E+09,-6.81687013426E+00
4.34639819910E+09,-7.50696329303E+00
4.34824812406E+09,-8.45364864184E+00
4.35009804902E+09,-9.67837522733E+00
4.35194797399E+09,-1.13823341648E+01
4.35379789895E+09,-1.36964559750E+01
4.35564782391E+09,-1.70397983365E+01
4.35749774887E+09,-2.20267711945E+01
4.35934767384E+09,-2.99023628926E+01
4.36119759880E+09,-4.32960633360E+01
4.36304752376E+09,-6.64262379509E+01
4.36489744872E+09,-9.81735376981E+01
4.36674737369E+09,-1.24534298920E+02
4.36859729865E+09,-1.40471299536E+02
4.37044722361E+09,-1.49974833157E+02
4.37229714857E+09,-1.56159765088E+02
4.37414707354E+09,-1.60584779207E+02
4.37599699850E+09,-1.64056384744E+02
4.37784692346E+09,-1.66911569580E+02
4.37969684842E+09,-1.69395686943E+02
4.38154677339E+09,-1.71654875110E+02
4.38339669835E+09,-1.73762996995E+02
4.38524662331E+09,-1.75766390515E+02
4.38709654827E+09,-1.77708866745E+02
4.38894647324E+09,-1.79614519683E+02
4.39079639820E+09,-1.81482711715E+02
4.39264632316E+09,-1.83331970512E+02
4.39449624812E+09,-1.85176310949E+02
4.39634617309E+09,-1.87018366535E+02
4.39819609805E+09,-1.88857464855E+02
4.40004602301E+09,-1.90717502457E+02
4.40189594797E+09,-1.92629205783E+02
4.40374587294E+09,-1.94567344098E+02
4.40559579790E+09,-1.96579490829E+02
4.40744572286E+09,-1.98660973726E+02
4.40929564782E+09,-2.00858896346E+02
4.41114557279E+09,-2.03191273650E+02
4.41299549775E+09,-2.05712911830E+02
4.41484542271E+09,-2.08473409850E+02
4.41669534767E+09,-2.11581763413E+02
4.41854527264E+09,-2.15170650149E+02
4.42039519760E+09,-2.19357307376E+02
4.42224512256E+09,-2.24348327183E+02
4.42409504752E+09,-2.30436332489E+02
4.42594497249E+09,-2.37943003326E+02
4.42779489745E+09,-2.47277846567E+02
4.42964482241E+09,-2.58679900383E+02
4.43149474737E+09,-2.72056649273E+02
4.43334467234E+09,-2.86490092076E+02
4.43519459730E+09,-3.00545789078E+02
4.43704452226E+09,-3.12977457239E+02
4.43889444722E+09,-3.23384676206E+02
4.44074437219E+09,-3.31862523220E+02
4.44259429715E+09,-3.38741023821E+02
4.44444422211E+09,-3.44439204298E+02
4.44629414707E+09,-3.49203403602E+02
4.44814407204E+09,-3.53305096162E+02
4.44999399700E+09,-3.56894432373E+02
4.45184392196E+09,-3.60079128931E+02
4.45369384692E+09,-3.62949438454E+02
4.45554377189E+09,-3.65603330789E+02
4.45739369685E+09,-3.68042338412E+02
4.45924362181E+09,-3.70325249660E+02
4.46109354677E+09,-3.72478401158E+02
4.46294347174E+09,-3.74496232892E+02
4.46479339670E+09,-3.76398790340E+02
4.46664332166E+09,-3.78232888971E+02
4.46849324662E+09,-3.79975687068E+02
4.47034317159E+09,-3.81636195343E+02
4.47219309655E+09,-3.83258654331E+02
4.47404302151E+09,-3.84819269943E+02
4.47589294647E+09,-3.86351399405E+02
4.47774287144E+09,-3.87842496740E+02
4.47959279640E+09,-3.89333143623E+02
4.48144272136E+09,-3.90794393917E+02
4.48329264632E+09,-3.92278718028E+02
4.48514257129E+09,-3.93787403434E+02
4.48699249625E+09,-3.95380866445E+02
4.48884242121E+09,-3.97083555605E+02
4.49069234617E+09,-3.98911970269E+02
4.49254227114E+09,-4.00905962287E+02
4.49439219610E+09,-4.03142757267E+02
4.49624212106E+09,-4.05650256756E+02
4.49809204602E+09,-4.08494918766E+02
4.49994197099E+09,-4.11742335933E+02
4.50179189595E+09,-4.15498862406E+02
4.50364182091E+09,-4.19802241205E+02
4.50549174587E+09,-4.24761995213E+02
4.50734167084E+09,-4.30425717404E+02
4.50919159580E+09,-4.36815664285E+02
4.51104152076E+09,-4.43916912532E+02
4.51289144572E+09,-4.51586163891E+02
4.51474137069E+09,-4.59606856199E+02
4.51659129565E+09,-4.67743742962E+02
4.51844122061E+09,-4.75716084787E+02
4.52029114557E+09,-4.83309762926E+02
4.52214107054E+09,-4.90504362287E+02
4.52399099550E+09,-4.97153212389E+02
4.52584092046E+09,-5.03264652150E+02
4.52769084542E+09,-5.08915781917E+02
4.52954077039E+09,-5.14170604921E+02
4.53139069535E+09,-5.19084607984E+02
4.53324062031E+09,-5.23762481182E+02
4.53509054527E+09,-5.28225471201E+02
4.53694047024E+09,-5.32518926844E+02
4.53879039520E+09,-5.36699158744E+02
4.54064032016E+09,-5.40744412038E+02
4.54249024512E+09,-5.44707467594E+02
4.54434017009E+09,-5.48557617395E+02
4.54619009505E+09,-5.52313097572E+02
4.54804002001E+09,-5.55945654818E+02
4.54988994497E+09,-5.59441279644E+02
4.55173986993E+09,-5.62831339146E+02
4.55358979490E+09,-5.66064726477E+02
4.55543971986E+09,-5.69145611889E+02
4.55728964482E+09,-5.72078193975E+02
4.55913956978E+09,-5.74834571715E+02
4.56098949475E+09,-5.77442757139E+02
4.56283941971E+09,-5.79887516852E+02
4.56468934467E+09,-5.82200209667E+02
4.56653926963E+09,-5.84361419821E+02
4.56838919460E+09,-5.86396408099E+02
4.57023911956E+09,-5.88331605375E+02
4.57208904452E+09,-5.90164749482E+02
4.57393896948E+09,-5.91928199113E+02
4.57578889445E+09,-5.93615359877E+02
4.57763881941E+09,-5.95270801730E+02
4.57948874437E+09,-5.96901187406E+02
4.58133866933E+09,-5.98526544888E+02
4.58318859430E+09,-6.00191792824E+02
4.58503851926E+09,-6.01896238289E+02
4.58688844422E+09,-6.03684145919E+02
4.58873836918E+09,-6.05596667638E+02
4.59058829415E+09,-6.07628293560E+02
4.59243821911E+09,-6.09870998800E+02
4.59428814407E+09,-6.12320554136E+02
4.59613806903E+09,-6.15016635901E+02
4.59798799400E+09,-6.18006978996E+02
4.59983791896E+09,-6.21318659024E+02
4.60168784392E+09,-6.24865504112E+02
4.60353776888E+09,-6.28765548847E+02
4.60538769385E+09,-6.32999432828E+02
4.60723761881E+09,-6.37579471961E+02
4.60908754377E+09,-6.42431758092E+02
4.61093746873E+09,-6.47500979980E+02
4.61278739370E+09,-6.52701254062E+02
4.61463731866E+09,-6.57943406567E+02
4.61648724362E+09,-6.63137173715E+02
4.61833716858E+09,-6.68221041751E+02
4.62018709355E+09,-6.73147079395E+02
4.62203701851E+09,-6.77875381978E+02
4.62388694347E+09,-6.82410384404E+02
4.62573686843E+09,-6.86757730324E+02
4.62758679340E+09,-6.90922557888E+02
4.62943671836E+09,-6.94953085760E+02
4.63128664332E+09,-6.98853596436E+02
4.63313656828E+09,-7.02665873398E+02
4.63498649325E+09,-7.06389767342E+02
4.63683641821E+09,-7.10045245378E+02
4.63868634317E+09,-7.13657658311E+02
4.64053626813E+09,-7.17271215755E+02
4.64238619310E+09,-7.21013537762E+02
4.64423611806E+09,-7.24718933748E+02
4.64608604302E+09,-7.28363604118E+02
4.64793596798E+09,-7.31962873844E+02
4.64978589295E+09,-7.35506043102E+02
4.65163581791E+09,-7.38989149548E+02
4.65348574287E+09,-7.42413377810E+02
4.65533566783E+09,-7.45770743025E+02
