! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 12.09.2023 19:48:33
! Stimulus(Гц),    S21(°)
4.25200000000E+09,-8.70051296345E+00
4.25237483748E+09,-8.79593276765E+00
4.25274967497E+09,-8.78608313987E+00
4.25312451245E+09,-8.79947296944E+00
4.25349934993E+09,-8.90040831354E+00
4.25387418742E+09,-8.76117176057E+00
4.25424902490E+09,-8.85241226302E+00
4.25462386239E+09,-8.95440683444E+00
4.25499869987E+09,-8.67213224524E+00
4.25537353735E+09,-9.36534055948E+00
4.25574837484E+09,-9.33711148189E+00
4.25612321232E+09,-9.53238587019E+00
4.25649804980E+09,-9.56045899396E+00
4.25687288729E+09,-9.72232535854E+00
4.25724772477E+09,-9.97316276199E+00
4.25762256226E+09,-1.01910251714E+01
4.25799739974E+09,-1.01676423680E+01
4.25837223722E+09,-1.01292446260E+01
4.25874707471E+09,-1.01417996445E+01
4.25912191219E+09,-1.03964919267E+01
4.25949674967E+09,-1.05269079549E+01
4.25987158716E+09,-1.05656795132E+01
4.26024642464E+09,-1.04943034521E+01
4.26062126213E+09,-1.08359667335E+01
4.26099609961E+09,-1.10248879111E+01
4.26137093709E+09,-1.10728267097E+01
4.26174577458E+09,-1.10869110985E+01
4.26212061206E+09,-1.13866832447E+01
4.26249544954E+09,-1.13427596700E+01
4.26287028703E+09,-1.14319545684E+01
4.26324512451E+09,-1.17011993047E+01
4.26361996200E+09,-1.18183419804E+01
4.26399479948E+09,-1.18283064957E+01
4.26436963696E+09,-1.21390424891E+01
4.26474447445E+09,-1.22402531997E+01
4.26511931193E+09,-1.24601812093E+01
4.26549414941E+09,-1.27660971414E+01
4.26586898690E+09,-1.28485617595E+01
4.26624382438E+09,-1.29591336784E+01
4.26661866187E+09,-1.33645307712E+01
4.26699349935E+09,-1.32954779562E+01
4.26736833683E+09,-1.35477178459E+01
4.26774317432E+09,-1.38276544709E+01
4.26811801180E+09,-1.40061471324E+01
4.26849284928E+09,-1.41539886835E+01
4.26886768677E+09,-1.43643695267E+01
4.26924252425E+09,-1.46179067332E+01
4.26961736174E+09,-1.49565263042E+01
4.26999219922E+09,-1.52508487607E+01
4.27036703670E+09,-1.54045091844E+01
4.27074187419E+09,-1.57558414391E+01
4.27111671167E+09,-1.58880858205E+01
4.27149154915E+09,-1.62455535035E+01
4.27186638664E+09,-1.65658283050E+01
4.27224122412E+09,-1.69004848552E+01
4.27261606161E+09,-1.72406934093E+01
4.27299089909E+09,-1.75978619947E+01
4.27336573657E+09,-1.80146374625E+01
4.27374057406E+09,-1.83872716701E+01
4.27411541154E+09,-1.88061983265E+01
4.27449024902E+09,-1.93151176272E+01
4.27486508651E+09,-1.98426368670E+01
4.27523992399E+09,-2.03796501017E+01
4.27561476148E+09,-2.09507390927E+01
4.27598959896E+09,-2.15502709609E+01
4.27636443644E+09,-2.23039809529E+01
4.27673927393E+09,-2.30439666559E+01
4.27711411141E+09,-2.38795366982E+01
4.27748894889E+09,-2.48648775182E+01
4.27786378638E+09,-2.59712002265E+01
4.27823862386E+09,-2.72031456768E+01
4.27861346135E+09,-2.86761489295E+01
4.27898829883E+09,-3.03797933695E+01
4.27936313631E+09,-3.24448670435E+01
4.27973797380E+09,-3.50134085158E+01
4.28011281128E+09,-3.81695087145E+01
4.28048764876E+09,-4.22362204137E+01
4.28086248625E+09,-4.76957303631E+01
4.28123732373E+09,-5.51945194974E+01
4.28161216122E+09,-6.57973462201E+01
4.28198699870E+09,-8.07420322303E+01
4.28236183618E+09,-1.00043103199E+02
4.28273667367E+09,-1.20432922854E+02
4.28311151115E+09,-1.37710990582E+02
4.28348634863E+09,-1.50413490438E+02
4.28386118612E+09,-1.59384265609E+02
4.28423602360E+09,-1.65803364380E+02
4.28461086109E+09,-1.70539543708E+02
4.28498569857E+09,-1.74154404397E+02
4.28536053605E+09,-1.77014513789E+02
4.28573537354E+09,-1.79329446022E+02
4.28611021102E+09,-1.81248892675E+02
4.28648504850E+09,-1.82869325960E+02
4.28685988599E+09,-1.84250343578E+02
4.28723472347E+09,-1.85456129794E+02
4.28760956096E+09,-1.86544035654E+02
4.28798439844E+09,-1.87502152072E+02
4.28835923592E+09,-1.88413188312E+02
4.28873407341E+09,-1.89217316392E+02
4.28910891089E+09,-1.89958906921E+02
4.28948374837E+09,-1.90664584879E+02
4.28985858586E+09,-1.91330623294E+02
4.29023342334E+09,-1.91931755723E+02
4.29060826083E+09,-1.92521628742E+02
4.29098309831E+09,-1.93083618762E+02
4.29135793579E+09,-1.93614256833E+02
4.29173277328E+09,-1.94134897502E+02
4.29210761076E+09,-1.94646236447E+02
4.29248244824E+09,-1.95132929557E+02
4.29285728573E+09,-1.95608955749E+02
4.29323212321E+09,-1.96081805255E+02
4.29360696070E+09,-1.96529261805E+02
4.29398179818E+09,-1.96997067238E+02
4.29435663566E+09,-1.97454001391E+02
4.29473147315E+09,-1.97881584533E+02
4.29510631063E+09,-1.98370752733E+02
4.29548114811E+09,-1.98790392540E+02
4.29585598560E+09,-1.99240966010E+02
4.29623082308E+09,-1.99683505128E+02
4.29660566057E+09,-2.00138627640E+02
4.29698049805E+09,-2.00604845405E+02
4.29735533553E+09,-2.01061264235E+02
4.29773017302E+09,-2.01541214327E+02
4.29810501050E+09,-2.02017881941E+02
4.29847984798E+09,-2.02530899991E+02
4.29885468547E+09,-2.03042128383E+02
4.29922952295E+09,-2.03572655765E+02
4.29960436044E+09,-2.04154455295E+02
4.29997919792E+09,-2.04705947869E+02
4.30035403540E+09,-2.05281068713E+02
4.30072887289E+09,-2.05906812833E+02
4.30110371037E+09,-2.06566148562E+02
4.30147854785E+09,-2.07257072969E+02
4.30185338534E+09,-2.07964491143E+02
4.30222822282E+09,-2.08728446384E+02
4.30260306031E+09,-2.09535756076E+02
4.30297789779E+09,-2.10390106207E+02
4.30335273527E+09,-2.11330543615E+02
4.30372757276E+09,-2.12318623730E+02
4.30410241024E+09,-2.13383276041E+02
4.30447724772E+09,-2.14549373879E+02
4.30485208521E+09,-2.15827400769E+02
4.30522692269E+09,-2.17223747429E+02
4.30560176018E+09,-2.18752873063E+02
4.30597659766E+09,-2.20429268155E+02
4.30635143514E+09,-2.22329223558E+02
4.30672627263E+09,-2.24430721131E+02
4.30710111011E+09,-2.26778076791E+02
4.30747594759E+09,-2.29434342722E+02
4.30785078508E+09,-2.32439726660E+02
4.30822562256E+09,-2.35837915948E+02
4.30860046005E+09,-2.39711854583E+02
4.30897529753E+09,-2.44150007124E+02
4.30935013501E+09,-2.49156960753E+02
4.30972497250E+09,-2.54779798391E+02
4.31009980998E+09,-2.61049587109E+02
4.31047464746E+09,-2.67911423461E+02
4.31084948495E+09,-2.75246579646E+02
4.31122432243E+09,-2.82780621403E+02
4.31159915992E+09,-2.90342742291E+02
