L, [м];! Stimulus(Гц);    S21(°);f, [ГГц];φ, [рад];ω, [рад*ГГц];τГВЗ, [нс];γ(ω), [рад/м];vгр.,[Гм/c];;;
0,55;4252000000,00;-52,91;4,25;-0,92;26,72;3,60;-1,68;-0,15;;25;2,8
;4252374837,00;-53,40;4,25;-0,93;26,72;3,53;-1,69;-0,16;;50;2,8
;4252749675,00;-53,88;4,25;-0,94;26,72;3,46;-1,71;-0,16;;;
;4253124512,00;-54,34;4,25;-0,95;26,72;3,51;-1,72;-0,16;;;
;4253499350,00;-54,82;4,25;-0,96;26,73;3,55;-1,74;-0,15;;;
;4253874187,00;-55,30;4,25;-0,97;26,73;3,49;-1,75;-0,16;;;
;4254249025,00;-55,77;4,25;-0,97;26,73;3,58;-1,77;-0,15;;;
;4254623862,00;-56,25;4,25;-0,98;26,73;3,50;-1,79;-0,16;;;
;4254998700,00;-56,72;4,26;-0,99;26,73;3,49;-1,80;-0,16;;;
;4255373537,00;-57,19;4,26;-1,00;26,74;3,46;-1,81;-0,16;;;
;4255748375,00;-57,66;4,26;-1,01;26,74;3,40;-1,83;-0,16;;;
;4256123212,00;-58,12;4,26;-1,01;26,74;3,48;-1,84;-0,16;;;
;4256498050,00;-58,59;4,26;-1,02;26,74;3,50;-1,86;-0,16;;;
;4256872887,00;-59,06;4,26;-1,03;26,75;3,17;-1,87;-0,17;;;
;4257247725,00;-59,49;4,26;-1,04;26,75;3,45;-1,89;-0,16;;;
;4257622562,00;-59,95;4,26;-1,05;26,75;3,35;-1,90;-0,16;;;
;4257997400,00;-60,41;4,26;-1,05;26,75;3,28;-1,92;-0,17;;;
;4258372237,00;-60,85;4,26;-1,06;26,76;3,31;-1,93;-0,17;;;
;4258747075,00;-61,30;4,26;-1,07;26,76;3,26;-1,95;-0,17;;;
;4259121912,00;-61,74;4,26;-1,08;26,76;3,24;-1,96;-0,17;;;
;4259496750,00;-62,17;4,26;-1,09;26,76;3,18;-1,97;-0,17;;;
;4259871587,00;-62,60;4,26;-1,09;26,77;3,18;-1,99;-0,17;;;
;4260246425,00;-63,03;4,26;-1,10;26,77;3,12;-2,00;-0,18;;;
;4260621262,00;-63,45;4,26;-1,11;26,77;3,15;-2,01;-0,17;;;
;4260996100,00;-63,88;4,26;-1,11;26,77;3,04;-2,03;-0,18;;;
;4261370937,00;-64,29;4,26;-1,12;26,77;3,03;-2,04;-0,18;;;
;4261745775,00;-64,70;4,26;-1,13;26,78;2,99;-2,05;-0,18;;;
;4262120612,00;-65,10;4,26;-1,14;26,78;3,02;-2,07;-0,18;;;
;4262495450,00;-65,51;4,26;-1,14;26,78;2,87;-2,08;-0,19;;;
;4262870287,00;-65,90;4,26;-1,15;26,78;2,95;-2,09;-0,19;;;
;4263245125,00;-66,29;4,26;-1,16;26,79;2,78;-2,10;-0,20;;;
;4263619962,00;-66,67;4,26;-1,16;26,79;2,91;-2,12;-0,19;;;
;4263994799,00;-67,06;4,26;-1,17;26,79;2,75;-2,13;-0,20;;;
;4264369637,00;-67,43;4,26;-1,18;26,79;2,81;-2,14;-0,20;;;
;4264744474,00;-67,81;4,26;-1,18;26,80;2,78;-2,15;-0,20;;;
;4265119312,00;-68,18;4,27;-1,19;26,80;2,65;-2,16;-0,21;;;
;4265494149,00;-68,54;4,27;-1,20;26,80;2,72;-2,18;-0,20;;;
;4265868987,00;-68,91;4,27;-1,20;26,80;2,64;-2,19;-0,21;;;
;4266243824,00;-69,27;4,27;-1,21;26,81;2,62;-2,20;-0,21;;;
;4266618662,00;-69,62;4,27;-1,22;26,81;2,54;-2,21;-0,22;;;
;4266993499,00;-69,96;4,27;-1,22;26,81;2,52;-2,22;-0,22;;;
;4267368337,00;-70,30;4,27;-1,23;26,81;2,53;-2,23;-0,22;;;
;4267743174,00;-70,64;4,27;-1,23;26,82;2,48;-2,24;-0,22;;;
;4268118012,00;-70,98;4,27;-1,24;26,82;2,50;-2,25;-0,22;;;
;4268492849,00;-71,32;4,27;-1,24;26,82;2,41;-2,26;-0,23;;;
;4268867687,00;-71,64;4,27;-1,25;26,82;2,39;-2,27;-0,23;;;
;4269242524,00;-71,96;4,27;-1,26;26,82;2,38;-2,28;-0,23;;;
;4269617362,00;-72,29;4,27;-1,26;26,83;2,44;-2,29;-0,23;;;
;4269992199,00;-72,61;4,27;-1,27;26,83;2,33;-2,30;-0,24;;;
;4270367037,00;-72,93;4,27;-1,27;26,83;2,36;-2,31;-0,23;;;
;4270741874,00;-73,25;4,27;-1,28;26,83;2,20;-2,32;-0,25;;;
;4271116712,00;-73,54;4,27;-1,28;26,84;2,35;-2,33;-0,23;;;
;4271491549,00;-73,86;4,27;-1,29;26,84;2,27;-2,34;-0,24;;;
;4271866387,00;-74,17;4,27;-1,29;26,84;2,26;-2,35;-0,24;;;
;4272241224,00;-74,47;4,27;-1,30;26,84;2,28;-2,36;-0,24;;;
;4272616062,00;-74,78;4,27;-1,31;26,85;2,24;-2,37;-0,25;;;
;4272990899,00;-75,08;4,27;-1,31;26,85;2,18;-2,38;-0,25;;;
