! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:52:52
! Stimulus(ร๖),    S21(ไม)
3.00000000000E+05,-9.91308018350E+01
4.30185092546E+06,-9.76682775816E+01
8.30370185093E+06,-9.93502839829E+01
1.23055527764E+07,-9.72316394207E+01
1.63074037019E+07,-9.90442157279E+01
2.03092546273E+07,-9.22538200998E+01
2.43111055528E+07,-9.32819410922E+01
2.83129564782E+07,-1.09530939041E+02
3.23148074037E+07,-9.72510798942E+01
3.63166583292E+07,-9.21065855778E+01
4.03185092546E+07,-9.12681117417E+01
4.43203601801E+07,-9.60109528934E+01
4.83222111056E+07,-9.19374085546E+01
5.23240620310E+07,-8.73587303198E+01
5.63259129565E+07,-8.58958088504E+01
6.03277638819E+07,-8.76123317328E+01
6.43296148074E+07,-8.66150043132E+01
6.83314657329E+07,-8.56681430855E+01
7.23333166583E+07,-8.67360106632E+01
7.63351675838E+07,-8.58315006073E+01
8.03370185093E+07,-8.42121843999E+01
8.43388694347E+07,-8.68607663772E+01
8.83407203602E+07,-8.45674333223E+01
9.23425712856E+07,-8.53848836626E+01
9.63444222111E+07,-8.59739364671E+01
1.00346273137E+08,-8.61171951348E+01
1.04348124062E+08,-8.44589773469E+01
1.08349974987E+08,-8.25039863988E+01
1.12351825913E+08,-8.36409410872E+01
1.16353676838E+08,-8.51637754847E+01
1.20355527764E+08,-8.59073657643E+01
1.24357378689E+08,-8.55024905322E+01
1.28359229615E+08,-8.40559942716E+01
1.32361080540E+08,-8.15774713016E+01
1.36362931466E+08,-8.20860365241E+01
1.40364782391E+08,-8.18842116595E+01
1.44366633317E+08,-8.15148576169E+01
1.48368484242E+08,-8.23697254610E+01
1.52370335168E+08,-8.18065581896E+01
1.56372186093E+08,-8.06494384041E+01
1.60374037019E+08,-7.97640328263E+01
1.64375887944E+08,-8.20529246058E+01
1.68377738869E+08,-8.01990382659E+01
1.72379589795E+08,-8.00540630309E+01
1.76381440720E+08,-8.09341673654E+01
1.80383291646E+08,-8.03814116821E+01
1.84385142571E+08,-7.92124747049E+01
1.88386993497E+08,-8.06655317879E+01
1.92388844422E+08,-7.90981465012E+01
1.96390695348E+08,-7.94512934342E+01
2.00392546273E+08,-7.99663295681E+01
2.04394397199E+08,-7.98296454574E+01
2.08396248124E+08,-7.87223047343E+01
2.12398099050E+08,-8.02859218423E+01
2.16399949975E+08,-7.75510131796E+01
2.20401800900E+08,-7.79453374174E+01
2.24403651826E+08,-7.80472619162E+01
2.28405502751E+08,-7.85759510476E+01
2.32407353677E+08,-7.72908240878E+01
2.36409204602E+08,-7.75115139115E+01
2.40411055528E+08,-7.74288240734E+01
2.44412906453E+08,-7.69480714197E+01
2.48414757379E+08,-7.60073558843E+01
2.52416608304E+08,-7.57853199336E+01
2.56418459230E+08,-7.63382367490E+01
2.60420310155E+08,-7.67429990874E+01
2.64422161081E+08,-7.69070303800E+01
2.68424012006E+08,-7.62353557162E+01
2.72425862931E+08,-7.64684901596E+01
2.76427713857E+08,-7.71797459989E+01
2.80429564782E+08,-7.58952549776E+01
2.84431415708E+08,-7.63590615902E+01
2.88433266633E+08,-7.64162528597E+01
2.92435117559E+08,-7.53181073498E+01
2.96436968484E+08,-7.56338359096E+01
3.00438819410E+08,-7.68866188021E+01
3.04440670335E+08,-7.59639154727E+01
3.08442521261E+08,-7.59435904509E+01
3.12444372186E+08,-7.53985518144E+01
3.16446223112E+08,-7.47717660291E+01
3.20448074037E+08,-7.52197551742E+01
3.24449924962E+08,-7.46702018717E+01
3.28451775888E+08,-7.43334556524E+01
3.32453626813E+08,-7.46887425873E+01
3.36455477739E+08,-7.41861698827E+01
3.40457328664E+08,-7.35914003685E+01
3.44459179590E+08,-7.42665094565E+01
3.48461030515E+08,-7.35897763705E+01
3.52462881441E+08,-7.39321510911E+01
3.56464732366E+08,-7.39598463999E+01
3.60466583292E+08,-7.37453538588E+01
3.64468434217E+08,-7.36508909937E+01
3.68470285143E+08,-7.34768591733E+01
3.72472136068E+08,-7.39410958462E+01
3.76473986993E+08,-7.38467377669E+01
3.80475837919E+08,-7.34086756917E+01
3.84477688844E+08,-7.36399839474E+01
3.88479539770E+08,-7.36755004220E+01
3.92481390695E+08,-7.35761987124E+01
3.96483241621E+08,-7.31580212840E+01
4.00485092546E+08,-7.28838712591E+01
4.04486943472E+08,-7.22650560808E+01
4.08488794397E+08,-7.29809555235E+01
4.12490645323E+08,-7.26295060454E+01
4.16492496248E+08,-7.24747599962E+01
4.20494347174E+08,-7.21125286409E+01
4.24496198099E+08,-7.28113686819E+01
4.28498049025E+08,-7.24121953754E+01
4.32499899950E+08,-7.25585623444E+01
4.36501750875E+08,-7.23926617687E+01
4.40503601801E+08,-7.29002668837E+01
4.44505452726E+08,-7.24992470958E+01
4.48507303652E+08,-7.21498574278E+01
4.52509154577E+08,-7.27198722003E+01
4.56511005503E+08,-7.21154311770E+01
4.60512856428E+08,-7.17341378330E+01
4.64514707354E+08,-7.17727575928E+01
4.68516558279E+08,-7.17612349734E+01
4.72518409205E+08,-7.13723323481E+01
4.76520260130E+08,-7.10695038404E+01
4.80522111056E+08,-7.08602355340E+01
4.84523961981E+08,-7.06329346971E+01
4.88525812906E+08,-7.05860082998E+01
4.92527663832E+08,-7.01959721771E+01
4.96529514757E+08,-7.01259898730E+01
5.00531365683E+08,-7.07590226850E+01
5.04533216608E+08,-6.99910593695E+01
5.08535067534E+08,-6.97783565240E+01
5.12536918459E+08,-7.05228127537E+01
5.16538769385E+08,-7.05991564664E+01
5.20540620310E+08,-7.06570673023E+01
5.24542471236E+08,-7.08307129923E+01
5.28544322161E+08,-7.15488344470E+01
5.32546173087E+08,-7.10251652401E+01
5.36548024012E+08,-7.11591513322E+01
5.40549874937E+08,-7.09012232886E+01
5.44551725863E+08,-7.06315980876E+01
5.48553576788E+08,-7.08826937789E+01
5.52555427714E+08,-7.05756858626E+01
5.56557278639E+08,-7.06957871507E+01
5.60559129565E+08,-6.99934260602E+01
5.64560980490E+08,-6.95505089600E+01
5.68562831416E+08,-6.94907122237E+01
5.72564682341E+08,-6.98493582100E+01
5.76566533267E+08,-6.89308265632E+01
5.80568384192E+08,-6.90194830216E+01
5.84570235118E+08,-6.87409141904E+01
5.88572086043E+08,-6.83058424290E+01
5.92573936968E+08,-6.84209922633E+01
5.96575787894E+08,-6.83756136755E+01
6.00577638819E+08,-6.85918743406E+01
6.04579489745E+08,-6.86043807644E+01
6.08581340670E+08,-6.88048822581E+01
6.12583191596E+08,-6.88542610699E+01
6.16585042521E+08,-6.89021984753E+01
6.20586893447E+08,-6.89701718861E+01
6.24588744372E+08,-6.91856191035E+01
6.28590595298E+08,-6.91114167887E+01
6.32592446223E+08,-6.93330851603E+01
6.36594297149E+08,-6.91311309668E+01
6.40596148074E+08,-6.90328564894E+01
6.44597998999E+08,-6.88180920326E+01
6.48599849925E+08,-6.84620508289E+01
