! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:56:42
! Stimulus(Гц),    S21(дБ)
2.82800000000E+09,-4.56145021834E+01
2.82843721861E+09,-4.55779209353E+01
2.82887443722E+09,-4.55548081516E+01
2.82931165583E+09,-4.55548997221E+01
2.82974887444E+09,-4.54931706908E+01
2.83018609305E+09,-4.54593529003E+01
2.83062331166E+09,-4.54486367280E+01
2.83106053027E+09,-4.54410767274E+01
2.83149774887E+09,-4.53985580375E+01
2.83193496748E+09,-4.53807419021E+01
2.83237218609E+09,-4.53631090886E+01
2.83280940470E+09,-4.53158016113E+01
2.83324662331E+09,-4.53015533803E+01
2.83368384192E+09,-4.52489918827E+01
2.83412106053E+09,-4.51904909692E+01
2.83455827914E+09,-4.51833839863E+01
2.83499549775E+09,-4.51679465777E+01
2.83543271636E+09,-4.51247299739E+01
2.83586993497E+09,-4.50892406749E+01
2.83630715358E+09,-4.50559611098E+01
2.83674437219E+09,-4.50357072406E+01
2.83718159080E+09,-4.50044586092E+01
2.83761880940E+09,-4.49746786272E+01
2.83805602801E+09,-4.49074284463E+01
2.83849324662E+09,-4.49179662520E+01
2.83893046523E+09,-4.49003598984E+01
2.83936768384E+09,-4.48571329113E+01
2.83980490245E+09,-4.48013065383E+01
2.84024212106E+09,-4.47946405504E+01
2.84067933967E+09,-4.47741201916E+01
2.84111655828E+09,-4.47223263172E+01
2.84155377689E+09,-4.47147652622E+01
2.84199099550E+09,-4.46641547185E+01
2.84242821411E+09,-4.46381093169E+01
2.84286543272E+09,-4.45977294945E+01
2.84330265133E+09,-4.45490041245E+01
2.84373986993E+09,-4.45421515754E+01
2.84417708854E+09,-4.44701444732E+01
2.84461430715E+09,-4.44789843704E+01
2.84505152576E+09,-4.44506319449E+01
2.84548874437E+09,-4.44090103321E+01
2.84592596298E+09,-4.43840445444E+01
2.84636318159E+09,-4.43578908050E+01
2.84680040020E+09,-4.42908934468E+01
2.84723761881E+09,-4.42837962435E+01
2.84767483742E+09,-4.42543313784E+01
2.84811205603E+09,-4.42369404409E+01
2.84854927464E+09,-4.41901298069E+01
2.84898649325E+09,-4.41979233566E+01
2.84942371186E+09,-4.41589646748E+01
2.84986093047E+09,-4.41268609572E+01
2.85029814907E+09,-4.41064858769E+01
2.85073536768E+09,-4.40660374691E+01
2.85117258629E+09,-4.40566071089E+01
2.85160980490E+09,-4.40287422953E+01
2.85204702351E+09,-4.39926005425E+01
2.85248424212E+09,-4.39783051859E+01
2.85292146073E+09,-4.39648961981E+01
2.85335867934E+09,-4.39168888457E+01
2.85379589795E+09,-4.39058474554E+01
2.85423311656E+09,-4.38968939739E+01
2.85467033517E+09,-4.38649972856E+01
2.85510755378E+09,-4.38397481943E+01
2.85554477239E+09,-4.38411885852E+01
2.85598199100E+09,-4.38026748846E+01
2.85641920960E+09,-4.37921679205E+01
2.85685642821E+09,-4.37445535793E+01
2.85729364682E+09,-4.37546155059E+01
2.85773086543E+09,-4.37170211523E+01
2.85816808404E+09,-4.37082007397E+01
2.85860530265E+09,-4.36930714392E+01
2.85904252126E+09,-4.36694764294E+01
2.85947973987E+09,-4.36607210502E+01
2.85991695848E+09,-4.36544023284E+01
2.86035417709E+09,-4.36450512518E+01
2.86079139570E+09,-4.36411205304E+01
2.86122861431E+09,-4.36345772564E+01
2.86166583292E+09,-4.36034997969E+01
2.86210305153E+09,-4.36024518548E+01
2.86254027014E+09,-4.35824220008E+01
2.86297748874E+09,-4.35790679909E+01
2.86341470735E+09,-4.35635241285E+01
2.86385192596E+09,-4.35516883428E+01
2.86428914457E+09,-4.35528858454E+01
2.86472636318E+09,-4.35474714585E+01
2.86516358179E+09,-4.35481508161E+01
2.86560080040E+09,-4.35137934789E+01
2.86603801901E+09,-4.34895698296E+01
2.86647523762E+09,-4.35117576891E+01
2.86691245623E+09,-4.35062192112E+01
2.86734967484E+09,-4.35213410899E+01
2.86778689345E+09,-4.35074201917E+01
2.86822411206E+09,-4.35049797187E+01
2.86866133067E+09,-4.35129940616E+01
2.86909854927E+09,-4.35101798456E+01
2.86953576788E+09,-4.34925372287E+01
2.86997298649E+09,-4.35045866759E+01
2.87041020510E+09,-4.34958108713E+01
2.87084742371E+09,-4.35114727769E+01
2.87128464232E+09,-4.35016655408E+01
2.87172186093E+09,-4.35046261385E+01
2.87215907954E+09,-4.35059668095E+01
2.87259629815E+09,-4.35255754013E+01
2.87303351676E+09,-4.35316809104E+01
2.87347073537E+09,-4.35325001869E+01
2.87390795398E+09,-4.35081659612E+01
2.87434517259E+09,-4.35325818943E+01
2.87478239120E+09,-4.35539005541E+01
2.87521960980E+09,-4.35560164720E+01
2.87565682841E+09,-4.35745173845E+01
2.87609404702E+09,-4.35872435171E+01
2.87653126563E+09,-4.35875013210E+01
2.87696848424E+09,-4.35859934348E+01
2.87740570285E+09,-4.35857657146E+01
2.87784292146E+09,-4.36070089185E+01
2.87828014007E+09,-4.36073327476E+01
2.87871735868E+09,-4.36310005265E+01
2.87915457729E+09,-4.36285497237E+01
2.87959179590E+09,-4.36373495074E+01
2.88002901451E+09,-4.36532946065E+01
2.88046623312E+09,-4.36554400453E+01
2.88090345173E+09,-4.36402930814E+01
2.88134067034E+09,-4.36800716573E+01
2.88177788894E+09,-4.37134879418E+01
2.88221510755E+09,-4.37094801001E+01
2.88265232616E+09,-4.37186373085E+01
2.88308954477E+09,-4.37263669276E+01
2.88352676338E+09,-4.37156456975E+01
2.88396398199E+09,-4.37373676039E+01
2.88440120060E+09,-4.37678021481E+01
2.88483841921E+09,-4.37747476179E+01
2.88527563782E+09,-4.37682451421E+01
2.88571285643E+09,-4.37864895769E+01
2.88615007504E+09,-4.37992791514E+01
2.88658729365E+09,-4.38023532152E+01
2.88702451226E+09,-4.38209864271E+01
2.88746173087E+09,-4.38288441700E+01
2.88789894947E+09,-4.38410917914E+01
2.88833616808E+09,-4.38337099591E+01
2.88877338669E+09,-4.38578392032E+01
2.88921060530E+09,-4.38700425017E+01
2.88964782391E+09,-4.38742681868E+01
2.89008504252E+09,-4.38921803397E+01
2.89052226113E+09,-4.39080679264E+01
2.89095947974E+09,-4.39363115579E+01
2.89139669835E+09,-4.39201069879E+01
2.89183391696E+09,-4.39250404969E+01
2.89227113557E+09,-4.39238510912E+01
2.89270835418E+09,-4.39447149697E+01
2.89314557279E+09,-4.39766278898E+01
2.89358279140E+09,-4.39686910752E+01
2.89402001001E+09,-4.39794573477E+01
2.89445722861E+09,-4.39828397885E+01
2.89489444722E+09,-4.39677072860E+01
2.89533166583E+09,-4.39909324748E+01
2.89576888444E+09,-4.39811546043E+01
2.89620610305E+09,-4.39869911698E+01
2.89664332166E+09,-4.39951898208E+01
2.89708054027E+09,-4.40144110979E+01
2.89751775888E+09,-4.40075831312E+01
2.89795497749E+09,-4.40316076656E+01
2.89839219610E+09,-4.40229649716E+01
2.89882941471E+09,-4.40239446209E+01
2.89926663332E+09,-4.40599351468E+01
2.89970385193E+09,-4.40375048148E+01
2.90014107054E+09,-4.40324112876E+01
2.90057828914E+09,-4.40313911684E+01
2.90101550775E+09,-4.40326262971E+01
2.90145272636E+09,-4.40355922751E+01
2.90188994497E+09,-4.40339616481E+01
2.90232716358E+09,-4.40207004970E+01
2.90276438219E+09,-4.40253488743E+01
2.90320160080E+09,-4.40350322559E+01
2.90363881941E+09,-4.40397544393E+01
2.90407603802E+09,-4.40500947689E+01
2.90451325663E+09,-4.40152465491E+01
2.90495047524E+09,-4.40159819376E+01
2.90538769385E+09,-4.40074833960E+01
2.90582491246E+09,-4.40181865366E+01
2.90626213107E+09,-4.40137064185E+01
2.90669934967E+09,-4.40396932169E+01
2.90713656828E+09,-4.39796315570E+01
2.90757378689E+09,-4.39929285887E+01
2.90801100550E+09,-4.39828218334E+01
2.90844822411E+09,-4.39874733925E+01
2.90888544272E+09,-4.39846328724E+01
2.90932266133E+09,-4.39626657507E+01
2.90975987994E+09,-4.39638976065E+01
2.91019709855E+09,-4.39464697773E+01
2.91063431716E+09,-4.39162611358E+01
2.91107153577E+09,-4.39383058611E+01
2.91150875438E+09,-4.39092037261E+01
2.91194597299E+09,-4.39279608772E+01
2.91238319160E+09,-4.39053362749E+01
2.91282041021E+09,-4.38940961448E+01
2.91325762881E+09,-4.38663965723E+01
2.91369484742E+09,-4.38488661957E+01
2.91413206603E+09,-4.38690766247E+01
2.91456928464E+09,-4.38124098773E+01
2.91500650325E+09,-4.38282860924E+01
2.91544372186E+09,-4.37854299525E+01
2.91588094047E+09,-4.37959927797E+01
2.91631815908E+09,-4.37649315850E+01
2.91675537769E+09,-4.37432754493E+01
2.91719259630E+09,-4.37379364004E+01
2.91762981491E+09,-4.37085027184E+01
2.91806703352E+09,-4.37039762709E+01
2.91850425213E+09,-4.36632915615E+01
2.91894147074E+09,-4.36604482850E+01
2.91937868934E+09,-4.36366349611E+01
2.91981590795E+09,-4.36316105921E+01
2.92025312656E+09,-4.35899216474E+01
2.92069034517E+09,-4.36115345912E+01
2.92112756378E+09,-4.35583688826E+01
2.92156478239E+09,-4.35065808111E+01
2.92200200100E+09,-4.35339089708E+01
2.92243921961E+09,-4.34951942047E+01
2.92287643822E+09,-4.34504623740E+01
2.92331365683E+09,-4.34316880802E+01
2.92375087544E+09,-4.34293756678E+01
2.92418809405E+09,-4.34133586286E+01
2.92462531266E+09,-4.33387595371E+01
2.92506253127E+09,-4.33342194989E+01
2.92549974987E+09,-4.33144329800E+01
2.92593696848E+09,-4.32753516912E+01
2.92637418709E+09,-4.32737269953E+01
2.92681140570E+09,-4.32420377516E+01
2.92724862431E+09,-4.32086564596E+01
2.92768584292E+09,-4.32002569175E+01
2.92812306153E+09,-4.31578086548E+01
2.92856028014E+09,-4.31011061954E+01
2.92899749875E+09,-4.30847912780E+01
2.92943471736E+09,-4.30478624434E+01
2.92987193597E+09,-4.30238939422E+01
2.93030915458E+09,-4.30050312464E+01
2.93074637319E+09,-4.29852284684E+01
2.93118359180E+09,-4.29170245403E+01
2.93162081041E+09,-4.29232706902E+01
2.93205802901E+09,-4.28605029821E+01
2.93249524762E+09,-4.28570834371E+01
2.93293246623E+09,-4.28227712034E+01
2.93336968484E+09,-4.27962225760E+01
2.93380690345E+09,-4.27384515176E+01
2.93424412206E+09,-4.27096669788E+01
2.93468134067E+09,-4.26752780499E+01
2.93511855928E+09,-4.26425574656E+01
2.93555577789E+09,-4.25927362865E+01
2.93599299650E+09,-4.25607473798E+01
2.93643021511E+09,-4.25238635012E+01
2.93686743372E+09,-4.24757891971E+01
2.93730465233E+09,-4.24444574913E+01
2.93774187094E+09,-4.24192939748E+01
2.93817908954E+09,-4.23935904219E+01
2.93861630815E+09,-4.23721691726E+01
2.93905352676E+09,-4.23048371777E+01
2.93949074537E+09,-4.22983348948E+01
2.93992796398E+09,-4.22319371232E+01
2.94036518259E+09,-4.21844916454E+01
2.94080240120E+09,-4.21378154153E+01
2.94123961981E+09,-4.21453106020E+01
2.94167683842E+09,-4.20810941134E+01
2.94211405703E+09,-4.20654371151E+01
2.94255127564E+09,-4.19895347228E+01
2.94298849425E+09,-4.19599138093E+01
2.94342571286E+09,-4.19352315741E+01
2.94386293147E+09,-4.18730073300E+01
2.94430015008E+09,-4.18442336624E+01
2.94473736868E+09,-4.17949832329E+01
2.94517458729E+09,-4.17473338737E+01
2.94561180590E+09,-4.17152518400E+01
2.94604902451E+09,-4.16993749666E+01
2.94648624312E+09,-4.16642978831E+01
2.94692346173E+09,-4.15922525324E+01
2.94736068034E+09,-4.15769399584E+01
2.94779789895E+09,-4.15496443592E+01
2.94823511756E+09,-4.14841241897E+01
2.94867233617E+09,-4.14524192660E+01
2.94910955478E+09,-4.14113268256E+01
2.94954677339E+09,-4.13659297073E+01
2.94998399200E+09,-4.13503131824E+01
2.95042121061E+09,-4.13184529684E+01
2.95085842921E+09,-4.12817879924E+01
2.95129564782E+09,-4.12319933933E+01
2.95173286643E+09,-4.11962248936E+01
2.95217008504E+09,-4.11465810887E+01
2.95260730365E+09,-4.11357384360E+01
2.95304452226E+09,-4.11027634680E+01
2.95348174087E+09,-4.10736699640E+01
2.95391895948E+09,-4.10183225784E+01
2.95435617809E+09,-4.09842625372E+01
2.95479339670E+09,-4.09520290833E+01
2.95523061531E+09,-4.09151959151E+01
2.95566783392E+09,-4.08800048383E+01
2.95610505253E+09,-4.08459153699E+01
2.95654227114E+09,-4.08249154069E+01
2.95697948974E+09,-4.07855903639E+01
2.95741670835E+09,-4.07628839141E+01
2.95785392696E+09,-4.07222825141E+01
2.95829114557E+09,-4.06918034215E+01
2.95872836418E+09,-4.06554602540E+01
2.95916558279E+09,-4.06250248719E+01
2.95960280140E+09,-4.05944244406E+01
2.96004002001E+09,-4.05787116356E+01
2.96047723862E+09,-4.05419758368E+01
2.96091445723E+09,-4.05191117475E+01
2.96135167584E+09,-4.04895050729E+01
2.96178889445E+09,-4.04609102482E+01
2.96222611306E+09,-4.04505629527E+01
2.96266333167E+09,-4.04157240915E+01
2.96310055028E+09,-4.03665140310E+01
2.96353776888E+09,-4.03603790168E+01
2.96397498749E+09,-4.03293468725E+01
2.96441220610E+09,-4.03068646092E+01
2.96484942471E+09,-4.02907750641E+01
2.96528664332E+09,-4.02656894950E+01
2.96572386193E+09,-4.02390114730E+01
2.96616108054E+09,-4.02217374446E+01
2.96659829915E+09,-4.02051667312E+01
2.96703551776E+09,-4.01854626497E+01
2.96747273637E+09,-4.01609103185E+01
2.96790995498E+09,-4.01398889640E+01
2.96834717359E+09,-4.01211286002E+01
2.96878439220E+09,-4.01096708295E+01
2.96922161081E+09,-4.00902246090E+01
2.96965882941E+09,-4.00821154430E+01
2.97009604802E+09,-4.00574484304E+01
2.97053326663E+09,-4.00545756158E+01
2.97097048524E+09,-4.00240917883E+01
2.97140770385E+09,-4.00083380047E+01
2.97184492246E+09,-4.00213108865E+01
2.97228214107E+09,-3.99800933640E+01
2.97271935968E+09,-3.99723693088E+01
2.97315657829E+09,-3.99645767005E+01
2.97359379690E+09,-3.99678539468E+01
2.97403101551E+09,-3.99542217475E+01
2.97446823412E+09,-3.99246441759E+01
2.97490545273E+09,-3.99217864762E+01
2.97534267134E+09,-3.99011535361E+01
2.97577988994E+09,-3.99060282411E+01
2.97621710855E+09,-3.98911394775E+01
2.97665432716E+09,-3.98965787775E+01
2.97709154577E+09,-3.98726777449E+01
2.97752876438E+09,-3.98798609967E+01
2.97796598299E+09,-3.98597378218E+01
2.97840320160E+09,-3.98637731450E+01
2.97884042021E+09,-3.98611297117E+01
2.97927763882E+09,-3.98549260344E+01
2.97971485743E+09,-3.98360404724E+01
2.98015207604E+09,-3.98580218290E+01
2.98058929465E+09,-3.98335417579E+01
2.98102651326E+09,-3.98211171525E+01
2.98146373187E+09,-3.98419652172E+01
2.98190095048E+09,-3.98364691728E+01
2.98233816908E+09,-3.98093276400E+01
2.98277538769E+09,-3.98213006903E+01
2.98321260630E+09,-3.98379266112E+01
2.98364982491E+09,-3.98262008084E+01
2.98408704352E+09,-3.98225799471E+01
2.98452426213E+09,-3.98028336436E+01
2.98496148074E+09,-3.98230257972E+01
2.98539869935E+09,-3.98313840985E+01
2.98583591796E+09,-3.98117825869E+01
2.98627313657E+09,-3.98064976012E+01
2.98671035518E+09,-3.97878122699E+01
2.98714757379E+09,-3.97934627070E+01
2.98758479240E+09,-3.98098077471E+01
2.98802201101E+09,-3.97924550174E+01
2.98845922961E+09,-3.98014916946E+01
2.98889644822E+09,-3.98000287414E+01
2.98933366683E+09,-3.97821117495E+01
2.98977088544E+09,-3.97815475885E+01
2.99020810405E+09,-3.97929697213E+01
2.99064532266E+09,-3.97803340704E+01
2.99108254127E+09,-3.97975548205E+01
2.99151975988E+09,-3.98002231572E+01
2.99195697849E+09,-3.97896770690E+01
2.99239419710E+09,-3.97907298868E+01
2.99283141571E+09,-3.97860202013E+01
2.99326863432E+09,-3.97843621932E+01
2.99370585293E+09,-3.97953257907E+01
2.99414307154E+09,-3.97808514957E+01
2.99458029015E+09,-3.97963161596E+01
2.99501750875E+09,-3.97727191606E+01
2.99545472736E+09,-3.97793692825E+01
2.99589194597E+09,-3.97727580610E+01
2.99632916458E+09,-3.97848519165E+01
2.99676638319E+09,-3.97769792078E+01
2.99720360180E+09,-3.97833484124E+01
2.99764082041E+09,-3.97676025321E+01
2.99807803902E+09,-3.97626976458E+01
2.99851525763E+09,-3.97755308642E+01
2.99895247624E+09,-3.97682500143E+01
2.99938969485E+09,-3.97649280922E+01
2.99982691346E+09,-3.97509992691E+01
3.00026413207E+09,-3.97630871132E+01
3.00070135068E+09,-3.97502257257E+01
3.00113856928E+09,-3.97420618227E+01
3.00157578789E+09,-3.97499980848E+01
3.00201300650E+09,-3.97384584489E+01
3.00245022511E+09,-3.97255320638E+01
3.00288744372E+09,-3.97446194743E+01
3.00332466233E+09,-3.97102116310E+01
3.00376188094E+09,-3.97309895636E+01
3.00419909955E+09,-3.97222275597E+01
3.00463631816E+09,-3.96932554867E+01
3.00507353677E+09,-3.96906940976E+01
3.00551075538E+09,-3.96872938153E+01
3.00594797399E+09,-3.96781645669E+01
3.00638519260E+09,-3.96820831403E+01
3.00682241121E+09,-3.96958386676E+01
3.00725962981E+09,-3.96610404040E+01
3.00769684842E+09,-3.96629078197E+01
3.00813406703E+09,-3.96494890380E+01
