! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:57:03
! Stimulus(Гц),    S21(°)
2.82800000000E+09,+1.18441001541E+00
2.82843721861E+09,+1.00874867836E+00
2.82887443722E+09,+1.32106537742E+00
2.82931165583E+09,+1.08751321871E+00
2.82974887444E+09,+1.15864278914E+00
2.83018609305E+09,+1.24389647157E+00
2.83062331166E+09,+1.03503244751E+00
2.83106053027E+09,+9.39006947033E-01
2.83149774887E+09,+9.03726241724E-01
2.83193496748E+09,+9.02940744228E-01
2.83237218609E+09,+8.87371710595E-01
2.83280940470E+09,+9.45219077201E-01
2.83324662331E+09,+1.01649302855E+00
2.83368384192E+09,+7.32936718984E-01
2.83412106053E+09,+5.61549150571E-01
2.83455827914E+09,+6.50469510063E-01
2.83499549775E+09,+6.96170038745E-01
2.83543271636E+09,+6.37930591852E-01
2.83586993497E+09,+4.35873577679E-01
2.83630715358E+09,+4.04755633336E-01
2.83674437219E+09,+3.90045216427E-01
2.83718159080E+09,+4.18911739560E-01
2.83761880940E+09,+2.45394814026E-01
2.83805602801E+09,+1.47819174338E-01
2.83849324662E+09,-4.88119784093E-02
2.83893046523E+09,+1.11408906753E-01
2.83936768384E+09,-1.46757073781E-01
2.83980490245E+09,-2.01191957638E-01
2.84024212106E+09,-3.74623725565E-01
2.84067933967E+09,-4.21944615513E-01
2.84111655828E+09,-6.33862894111E-01
2.84155377689E+09,-7.09695769296E-01
2.84199099550E+09,-5.72278666662E-01
2.84242821411E+09,-8.01412525870E-01
2.84286543272E+09,-9.33164008836E-01
2.84330265133E+09,-8.56494860824E-01
2.84373986993E+09,-1.11626139108E+00
2.84417708854E+09,-1.16333968369E+00
2.84461430715E+09,-1.29691596463E+00
2.84505152576E+09,-1.51975633418E+00
2.84548874437E+09,-1.65510258427E+00
2.84592596298E+09,-1.80606314544E+00
2.84636318159E+09,-1.94767420687E+00
2.84680040020E+09,-2.03239518919E+00
2.84723761881E+09,-2.02289621726E+00
2.84767483742E+09,-2.55671138117E+00
2.84811205603E+09,-2.63182980347E+00
2.84854927464E+09,-2.60659104170E+00
2.84898649325E+09,-2.85980950901E+00
2.84942371186E+09,-2.91323555133E+00
2.84986093047E+09,-3.04622334186E+00
2.85029814907E+09,-3.26745346169E+00
2.85073536768E+09,-3.57535467415E+00
2.85117258629E+09,-3.81942644353E+00
2.85160980490E+09,-3.97685337516E+00
